二级分类,三级分类
销售问题,价格变动
销售问题,销售承诺不兑现
销售问题,与宣传不符
销售问题,定（订）金纠纷
销售问题,不按约交车
销售问题,出售问题车
销售问题,隐瞒相关信息
销售问题,政策变动
销售问题,出售库存车
销售问题,购车手续不齐
销售问题,低开发票
销售问题,销售强制购买
销售问题,原车配套不全
销售问题,低配当高配卖
